Year,State,Imported from different state,Imported within state,Border,Transnational,Mixed/Non-PfPv,P. vivax,P. falciparum,Brazil Resident,Venezuela Resident,Guiana Resident,French Guiana Resident,Peru Resident,Bolivia Resident,Suriname Resident,Median days between symptoms and notification,Mean days between symptoms and notification,Total cases
2007,Acre,2945,5169,0,50,2579,48185,8482,58841,0,0,0,0,403,0,1,2.15593821,59246
2007,Amapa,829,4613,0,1008,1748,18898,5806,26255,0,0,196,0,0,0,2,2.975907397,26452
2007,Amazonas,1210,29088,0,136,9767,190894,33311,233863,1,0,2,90,0,1,2,2.870856818,233972
2007,Others,1868,1848,0,2005,1402,12696,4057,18150,1,0,3,0,0,1,2,4.148707753,18155
2007,Para,1236,18244,0,1108,4239,72362,16109,92699,0,0,6,0,0,2,2,3.167942996,92710
2007,Rodonia,8083,19276,0,9,6215,83163,20317,109606,0,0,0,0,81,0,1,2.338812566,109695
2007,Roraima,168,4168,0,1435,1235,14047,3086,18308,51,9,0,0,0,0,2,2.740947547,18368
2008,Acre,2364,3198,0,35,1030,26258,3664,30749,0,0,0,0,201,0,2,2.224684254,30952
2008,Amapa,669,2601,0,655,1007,13859,2556,17385,0,0,37,0,0,0,2,2.980211931,17422
2008,Amazonas,1046,16209,0,93,5880,133363,18230,157390,2,1,0,76,0,1,2,2.857733892,157473
2008,Others,2058,1262,0,1562,687,9380,1489,11550,0,0,5,0,0,0,2,4.239496947,11556
2008,Para,1470,17428,0,857,2810,70380,10872,84060,0,1,0,0,0,0,2,3.086094686,84062
2008,Rodonia,5110,10006,0,12,1814,54397,6981,62941,0,0,0,0,251,0,1,2.480604228,63192
2008,Roraima,130,2958,0,1338,502,10528,1290,12277,39,1,1,0,0,0,2,2.908916025,12320
2009,Acre,1820,2706,0,9,734,25896,3463,29992,0,0,0,0,101,0,2,2.326157641,30093
2009,Amapa,1141,2896,0,742,915,14391,2398,17686,0,0,18,0,0,0,2,3.374190591,17704
2009,Amazonas,1372,13512,0,163,3760,101076,11062,115739,14,0,0,136,0,0,2,3.068530631,115898
2009,Others,1576,1412,0,2068,735,9322,1667,11711,0,0,11,0,0,2,3,4.486000354,11724
2009,Para,1273,22962,0,832,5453,98100,22199,125745,0,0,6,0,0,1,2,2.65078886,125752
2009,Rodonia,2872,7941,0,17,1116,45673,5146,51874,0,0,0,0,60,0,2,2.512908407,51935
2009,Roraima,107,3324,0,1918,522,15488,1442,17326,115,9,2,0,0,0,1,2.228702452,17452
2010,Acre,968,3410,0,15,1078,36086,4509,41530,0,0,0,0,143,0,1,2.155781298,41673
2010,Amapa,1295,2491,0,612,1013,13876,2774,17634,0,0,21,0,0,1,2,3.670445437,17663
2010,Amazonas,1717,7614,0,214,2458,73902,8360,84307,3,0,2,393,0,0,2,3.254937591,84720
2010,Others,1538,704,0,1934,573,6624,1120,8308,1,1,6,0,0,0,3,5.47515528,8317
2010,Para,1271,27870,0,708,6072,153441,23133,182627,0,0,19,0,0,0,2,2.888214885,182646
2010,Rodonia,2023,8425,0,24,1073,48338,4819,54130,1,0,1,0,97,0,2,2.798232751,54230
2010,Roraima,131,4993,0,2883,1076,22234,2290,25237,334,23,6,0,0,0,0,1.617437231,25600
2011,Acre,718,1924,0,2,813,22140,2732,25644,0,0,0,0,41,0,1,2.299828298,25685
2011,Amapa,851,3755,0,344,1143,16475,3932,21518,0,0,32,0,0,0,2,3.628349137,21550
2011,Amazonas,1224,5815,0,120,1516,61698,3786,66899,0,0,0,97,0,0,2,3.163815349,67000
2011,Others,1252,691,0,1363,480,5770,566,6809,0,1,4,0,0,1,3,4.83695995,6816
2011,Para,790,20428,0,432,4707,122837,14500,142038,0,1,4,0,0,1,2,3.007132467,142044
2011,Rodonia,2293,5748,0,14,590,36018,1898,38425,0,0,1,0,80,0,2,2.826891513,38506
2011,Roraima,79,2851,0,2118,737,13278,1591,15511,86,9,0,0,0,0,1,1.785474065,15606
2012,Acre,914,2260,0,8,1461,24128,5012,30582,0,0,0,0,19,0,1,2.020922641,30601
